target_id,modality,feature,effect_size,q_value,n_target,n_rest
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_10Percentile,-0.8547117,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_90Percentile,0.61441038,0.17773355,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Energy,-0.27025335,0.22715158,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Entropy,0.78415496,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.75484284,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Kurtosis,-0.51034032,0.10607033,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Maximum,0.05751139,0.9241954,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Mean,-0.54950204,0.1020838,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.77219606,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Median,-0.43456577,0.17040751,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Minimum,0.10797324,0.87152597,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Range,-0.05606007,0.86334531,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.77070671,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.7848842,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Skewness,-0.00490072,0.94011314,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_TotalEnergy,-0.27025335,0.22715158,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Uniformity,-0.81453028,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_firstorder_Variance,0.78530536,0.06752942,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Autocorrelation,-0.19891669,0.66805993,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.75486716,0.07264804,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_ClusterShade,-0.58639338,0.09792978,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.86002305,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Contrast,0.57531463,0.12290872,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Correlation,0.68039606,0.08251423,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.58153109,0.12886012,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,0.63362731,0.09695694,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_DifferenceVariance,0.60028627,0.09834998,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Id,-0.57869303,0.12290872,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Idm,-0.58145938,0.11793441,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Idmn,-0.10360464,0.50006779,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Idn,-0.3716329,0.23588934,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Imc1,-0.36145921,0.23234607,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_Imc2,0.67831196,0.0784387,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_InverseVariance,0.54912104,0.16159065,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_JointAverage,-0.13854912,0.64787991,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_JointEnergy,-0.7807255,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_JointEntropy,0.76562211,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_MCC,0.65199804,0.08388425,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_MaximumProbability,-0.62864781,0.10995119,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_SumAverage,-0.13854912,0.64787991,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_SumEntropy,0.81909812,0.06442501,17,52
5V_CORE01,ct,log-sigma-1-0-mm-3D_glcm_SumSquares,0.81333926,0.07034834,17,52
