variable,modality,status,source,interpretation
ct_phase,ct,available,tools.confound + ct_qc metadata,categorical CT acquisition metadata
ct_manufacturer,ct,available,tools.confound + ct_qc metadata,categorical CT acquisition metadata
ct_scanner_model,ct,available,tools.confound + ct_qc metadata,categorical CT acquisition metadata
ct_reconstruction_kernel,ct,available,tools.confound + ct_qc metadata,categorical CT acquisition metadata
ct_slice_thickness,ct,available,tools.confound + ct_qc metadata,numeric CT acquisition metadata
ct_z_spacing,ct,available,tools.confound + ct_qc metadata,numeric CT acquisition metadata
ct_pixel_spacing,ct,available,tools.confound + ct_qc metadata,numeric CT acquisition metadata
ct_n_images,ct,available,tools.confound + ct_qc metadata,selected CT metadata
ct_study_year,ct,available,tools.confound + ct_qc metadata,selected CT metadata
wsi_patch_count,wsi,available,wsi_tumor_seg/*/summary.json,generated patch-count proxy
wsi_tumor_patch_count,wsi,available,wsi_tumor_seg/*/summary.json,generated tumor-patch-count proxy
wsi_tumor_patch_fraction,wsi,available,wsi_tumor_seg/*/summary.json,derived WSI QC proxy
wsi_model_mpp,wsi,available,wsi_tumor_seg/*/summary.json,embedding/segmentation model setting
wsi_model_tile_size,wsi,available,wsi_tumor_seg/*/summary.json,embedding/segmentation model setting
wsi_scanner_vendor,wsi,unavailable,wsi_tumor_seg/*/summary.json,not present in current artifacts
wsi_specimen_type,wsi,unavailable,wsi_tumor_seg/*/summary.json,not present in current artifacts
wsi_slide_count,wsi,unavailable,wsi_tumor_seg/*/summary.json,not present in current artifacts
wsi_stain_summary,wsi,unavailable,wsi_tumor_seg/*/summary.json,not present in current artifacts
rna_file_presence,rna,available,patient_states inventory,file-presence only; not batch QC
rna_batch,rna,unavailable,patient_states inventory,not present in current artifacts
rna_sequencing_center,rna,unavailable,patient_states inventory,not present in current artifacts
rna_plate,rna,unavailable,patient_states inventory,not present in current artifacts
rna_library_protocol,rna,unavailable,patient_states inventory,not present in current artifacts
wxs_file_presence,wxs,available,wxs manifest and discovery features,file-presence only; not sequencing QC
wxs_discovery_mutation_count,wxs,available,wxs manifest and discovery features,representation proxy
wxs_discovery_all_zero_proxy,wxs,available,wxs manifest and discovery features,"representation proxy, not missingness"
wxs_sequencing_center,wxs,unavailable,wxs manifest and discovery features,not present in current artifacts
wxs_capture_platform,wxs,unavailable,wxs manifest and discovery features,not present in current artifacts
wxs_median_depth,wxs,unavailable,wxs manifest and discovery features,not present in current artifacts
wxs_callable_bases,wxs,unavailable,wxs manifest and discovery features,not present in current artifacts
wxs_purity,wxs,unavailable,wxs manifest and discovery features,not present in current artifacts
cnv_missing_feature_count,cnv,available,cnv/case_features.csv,feature-table completeness proxy
cnv_feature_completeness_proxy,cnv,available,cnv/case_features.csv,feature-table completeness proxy
cnv_gain_burden,cnv,available,cnv/case_features.csv,derived CNV representation feature
cnv_loss_burden,cnv,available,cnv/case_features.csv,derived CNV representation feature
cnv_platform,cnv,unavailable,cnv/case_features.csv,not present in current artifacts
cnv_center,cnv,unavailable,cnv/case_features.csv,not present in current artifacts
cnv_purity,cnv,unavailable,cnv/case_features.csv,not present in current artifacts
cnv_ploidy,cnv,unavailable,cnv/case_features.csv,not present in current artifacts
cnv_segment_quality,cnv,unavailable,cnv/case_features.csv,not present in current artifacts
